review,rating
"I bought this the day it launched. The very moment it was available for sale and got it at an affordable price of ₹14999, delivered the same day via Amazon Prime. Its been almost 15 days of heavy use nowWhat i liked:-Amoled screen is sharp and crisp at displaying. No faulty viewing angles. Drop notch is super stylish and gives a flagship look to the device. Videos can be cropped to fit by the finger pinching out action. i have never seen Adaptive Brightness work so well in any phone.-Fingerprint sensor is easy to reach at the back below the camera. Quick unlocking and Smart Unlock works well. Face unlock is accurate and works well too.-Quad Camera setup is one of the sleekest cameras and positioning looks fabulous. The camera is quick to focus, great depth, the 64MP produces sharp images with a focus on the smallest details too. It has features like Pro, Hyperlapse, SlowMo, SuperSlowMo, Panorama, Night mode, Macro (wide), Bixby Vision, AR emoji, Food, 4k video and so much more. The front camera is better than what it looks like. It has perfect positioning, quick to focus and great attention to detail too. Overall, the cameras themselves make this phone worth a buy. Not just better in this range of phones but also than most flagship phones in 40-50k range.-Android 10 & One UI2.1 are both very clean, precise and extremely easy to use. If you're on any os below 9, this will be a great upgrade.-The biggest reason i bought this was the 6000mAh monster battery, it is not surprising that they do deliver their promise in this case too. The battery does not exhaust easily. Being a heavy user this battery, after charged fully, lasts around 2.5 days for me. The 15W type C charger that comes in the box takes about an hour to charge it from 0 to 100%.-There is one external speaker towards the side of the charging port which produces clean and moderately loud sound. Dolby Atmos Sound is also an upgrade if you are looking for a surround sound experience. towards the other side of the charging port, you have a 3.5mm headphone jack.-The Samsung Exynos 9611 processor lives upto its name. It is faster than i had expected it to be. Also, there are separate slots for memory and 2 sim cards which is a major pro.-The phone in hand feels very light, despite its huge battery. The Ocean Blue colour looks sophisticated and might give the black variant competition.-The box has a 15W fast charger with cable, user manuals, ejection pin.What I didn't like-It might sound stupid but there is nothing that i did not like about the m31. Maybe they could have provided a headphone in the box but given the features of the phone at such a low price range, that is understandable. Other than that, the phone has delivered to all the claims that it made and I think it is one of the best phones i have owned so far. Great competition in this range. Highly Recommended.",5
"1) When touch to ear while speaking, sensor malfunctions and call hold automatically2) Weight is high3) Battery is good4) Not perfect on Airtel WiFi calling, call disconnects automatically even WiFi speed is high5) 64MP Camera expected best clarity considering high megapixel rating, but it is lower in picture clarity which expected from 64MP6) If more moisture on finger, Fingerprint sensor will not work7) Battery is Best8) Speed is Best9) Speaker Volume and clarity is Best10) For office user, this is good choice11) Internet speed, hot spot is Best12) Screen performance w.r.t. comfort for eyes is Best",4
"this product is good, its fingerprint sensor is quite good, initially i have doubt about its battery as per some of review, but after 1 month use i can definitely say battery is upto the mark..currently there is no lagging issue lets hope  in future it will continue...camera quality is good, but slow mlo feature during night has some light sensitivity issue, samsung sud work on it, some will cry foul about filter, but its samsung, so anyone hav to be adjusted wid it...some will give 5 star but to be honest its situationalnothing can be perfect so this phone is, but its value for money, its one of best model in samsung mid range till date..4 star would be perfect for this phone",4
"I am writing this review after 10 days.1.CAMERAI found the rare camera excellent. The photos speak for there selves but focus is not available in macro mode you have to make exact distance about 3cms to clearly have a nice shot, the night mode is very good. When you open Slow motion videos, you fell lag on the videos. I think it is a software problem because i have seen m30s capturing good slow motion videos by having exactly the same proccer, I hope samsung will solve this problem in future updates.when we came to the front camera, i think samsung tried to improve the front camera from m30s. It is very great but suffers a little at night time.2.BATTERYThe 6000mah battery on this device is excellent, it last easly 2 days with moderete users. And can last a full day with heavy users so no need to worry about the battery.3.DISPLAYPerfect, no problem with that.4.VALUE FOR MONEYthe best from devices in this price segment.5.FINGER PRINT AND FACE UNLOCKfinger print is fast and secure, i have no problem with that. Face unlock is very fast during a day. But doesn't work sometimes at night and artificial light sources.PROS1.BIG BATTERY2.AWESOME DISPLAY3.GREAT CAMERA4.FAST FINGER PRINT SCANNERCONS1.LACKS FOCUS ON THE MACRO MODE CAMERA2.THE PHONE HEATS SOMETIMES BUT MANAGABLE.3.FRONT CAMERA IS NOT SOO GOOD AT NIGHT TIME.3.FELLS A LAG ON SLOWMOTION VIDEOS",5
This is the best thing you can get in this price range & NOT at China made one.Good:- Android version gives Beautiful looks!- Display Blue light filter is amazing.- Performance is great with no heat or lag issues.- Battery is HUUGEEEE- Expandable memory is cool !! Anyways 128 GB storage is pretty good.- Both sim slots support LTE .. that’s amazing- Fast charging takes not more than 45 mins to charge full- Mobile speakers are at OHKAY!- Camera is amazing- Figure-print sensor response is quickNot So Good:- Not sleek .. but ok.Go for it without any doubt.,5
"Very bad product1. Mainly  network  problem2.  only one sim work ,3. speaker  not  work,4. Don't buy SUMSANG  M series  phone",3
"The Samsung M31 is a power packed performer not only among it's equivalent price range smartphones but comparative to all high end phones available in the market today.1. Overall Handling is quite satisfying. With an Amoled Screen and a good resolution perfect for binge watching. You can switch between Vivid and Natural colours though (don't know why it comes in vivid default).2. Has a 64 MP rear camera with ultra wide and depth however as anyone would have a nick for wanting the best, there still is room for improvement.3. Comes with Face recognition and Finger print scanner, however there is a fraction of a second's lag while unlocking the phone. Recognition does get better with more use.4. Has an inbuilt Optimiser in the UI with anti-theft features to clear up memory,check battery usage and scan through an inbuilt antivirus. So that is an addition, however a third party antivirus should still be used as back up.5. The smartphone boasts of a 6000mAH mega battery and it lives up to the figure with 9-10 hrs of battery if used continuously and upto 2 days with normal to minimal use(Frankly speaking I gifted the phone to my mother and was surprised to see it working at 28%, the day after it was charged..also it was charged in the evening around 5 pm...so still not 2 days). The Charger supports fast charging but I wouldn't compare it to One Plus' dash charging as it would take upto 150 mins to reach full charge on M31.Eventually I did want to buy one more for myself,but there already is one M31 in the family.A great buy.",5
"Lightweight design,64 megapixcel camra captures each and every detail of picture,live focus mode of camra is best for click pics,mega display screen will give awesome experience in watching movies,latest processor gives you a fast access . In recent time all the works and education went online. Fingerprint and face lock feature of this phone give you a secure feeling while doing office work.32 mp front camera will be very useful in online classes and meetings. Best phone in its renge. Must bye.and sorry to forget to mention its stylish look specialy ocean blue model.loved it",5
Great phone in the range of 15k ( or less with discount and offers). Samsung is one of oldest brands and with good quality phone. Finger print scanner is fine but it could be on screen for better experience. Phone hasy a humongous battery life which easily enough for 1n half day. Also the 4 rear camera has superb lense quality. Pictures look amazing and colour gamut is also perfect. Overall a great buy.,4
"For those who wish to have an awesome camera view, this mobile is the best. Unbeatable camera - 64mp back and 32mp front camera. Worth your money. First time while all apps are getting installed it gets heated up , but as you use you will not find the issue. Charging takes more time and battery standby is also good.",5
"In a sea of Xiaomi's and Oppo, Vivo's, this is one of the best phones in this price segment. The stunning AMOLED screen is enough to lure people in but some other great things are it's battery life and the smooth One UI. Samsung finally is making some good midrange phones.",5
Finger print scanner is the worst.It takes 40s to unlock or read...and the just the display takes 20s to turn on.The phone is getting slower day by day.I have filled just 72gb out of 128 and the phone already lags.It takes decades to get the phone charged.Only good thing is the amoled display and the Camera  .So again after another 3 months...after some few updates I guess the phone is lag free and the fingerprint scanner somewhat is better .,3
"I am not gaming or who always view online content so for me battery life is the more concerned.So my reviews after 3 weeks of uses.Pros1. Good battery life2. Camera is good but not up to the marks with same budgets mobiles.Cons :Big Zero for heating issue, seriously the handset I using is getting warm if we talk for 30-40 mins or watch any movie for same time.Haven't tested yet playing high graphics game. Due to heating issue will not suggest to buy this phone.",3
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage) does not able to handle multi tasking. Had read good reviews in YouTube and others but personally speaking, it gave me disappointment as the movement you work on multiple application at a time mobile get auto restart and it also get heat real quick. Camera also a bit disappointing and bit slow if you go for other options for taking pictures.Overall not worth. This is the 3rd month I'm using this mobile and within 2 month it started giving me problem. Please do think more than 100 times to put money on this mobile.",2
"Wow!!It is a great purchase I have made during this dussera. Samsung M31 delivered as it is speicfied.Big kudos to the design and the security features it posses.The camera and finger print sensors are awesome and their functionality is epic.The 64MB picture quality sets benchmark in this category of mobiles.Screenshot function delivered  with across screen sweep , is like a magic wand touch which is creative and innovativeThe RAM and processor usage is very optimum to these category of mobiles.",5
"It's a real mega monster specially  in  this  price  range. I liked m31 very much because of its 64 mp quad camera 4k video recording ,the super amoled  FHD+infinity  u display with a big screen size of 6.4 inch also the fast charging  and long lasting  6000mAh battery ,and a good processor and a very quick working  face lock and fingerprint sensor, it is a product which is worth for the amount taken and it is the second time I bought it .An excellent value for money product",5
I m using Samsung for first time to support made in India and non Chinese phone. But astonished to see the quality which is marvelous. Super amoled screen is mind blowing. Camera is very good. Macro camera is also nice. Video calling experience is superb with 32 mp front camera. Sound is vibrant. Liked the quality very much. Watched 4k videos which is flawless. If anyone think to purchase then no second thought required. But cons is that a little costly. However after using I didn't regret its price.,5
"This is a good choice in the price range. Battery life is super and features are also good. Only drawback is the front camera quality.It had a phone freeze issue after April 2020 update, hope it is fixed now after the recent update. Not sure as I haven't witnessed it recently.Overall a good phone!",4
"Subject Heading- Phone was Automatically hang and switch off and Not open again.Now next day going to nearest service center in Deoria UP,( Hanuman Mandir Road), He was checking and saying It will take one week time to make. he gives the reason its ON/OFF circuit board is not working, and we will give the order to bring this part from our main center in Noida. Then that time i have no option and submitted my mobile for one week .My Question to #SamsungIndia, Why you are not remove the hanging problem , also why your service center  taking one week or more than one week time for little bit bug fixing . I am really irritate and to get worried.",1
"Got it during offer period....so far no issues faced....go for it if you get it cheap.Phone looks premium .Display, camera and audio are awesome. Battery life is very good as well.overall performance is good.the only con is the that if you watch youtube videos in portrait mode, the video size is smaller compared to the full phone size...looks wierd...but if you rotate it to full screen, its fine.",5
"I bought this phone around june.Within 4 months of  use it heavy dust got accumulated on one of the camera without any heavy use.That also without any heavy usage,it was laying on the table all day for that time.Thanks to lockdown !Highly disappointed with product manufacturers , adding 4 cameras comes with cost of servicing.i went to service center they said i have to pay this doesn't comes with IPS protection so doesn't cover in warranty..The material used on the back with camera casing is not of good quality anything xan easily pass in..",3
With this price it does not have compass to navigate which makes some apps unable to use. Like sky watch. So disappointing. Even smart phone which cost around rs.6000 does have it.,2
Battery backup is good. Screen size is good. But display is bad. While watching videos on YouTube it's horrible. And also speaker quality is bad,2
Ok,2
Poor carma,2
"Not a good product, touch is not smooth, camera quality is not 2 out of 5, heavy in weight, hanging problem",2
"I have taken mobile phone jst 4th month running, bt its very hard to work and also hang",2
Vest product only 25 days used so many problems west product,2
No warranty card inside. Product seems to be opened.,2
Worst camrea evrrr,2
"All are OK but,Fone is going to auto reboot mode",2
Basic product with average performance.Can be used for basic usage. Camera quality is really bad. Display is good.,2
I purchased for more battery backup but not in 95% charged lower in one day.Camera & screen is good. Redmi9 battery not good.,2
Hanging issue don't buy after using one month,2
NiceREAD MORE,5
"Good battery backup.. Worth buying. If you are in a plan to buy basic phone for price arround 1000..I suggest, this is the best phone in the market to go for.READ MORE",5
SuperREAD MORE,5
"Phone's microphone stopped working after 3 days of usages, got to get it changed.READ MORE",2
